CaseId,Scenario,Procedure,Expected,Evidence
M8-001,Clean Windows start,"Install and start XClip with no running instance","One process, one tray icon, database opens, popup opens normally","process list; tray screenshot"
M8-002,Autostart,"Enable Start on Windows boot and sign out/in","Current installed XClip executable starts once","HKCU Run export; process list"
M8-003,Start minimized,"Enable Start minimized and restart XClip","Tray appears without popup stealing focus","tray screenshot"
M8-004,Tray lifecycle,"Pause/resume and open/exit through tray","One responsive tray icon; state remains synchronized","tray interaction notes"
M8-005,Secondary launch,"Launch installed XClip while primary is running","Primary popup activates; no second process or tray icon","process list"
M8-006,Explorer restart,"Restart Windows Explorer while XClip runs","Tray and hotkey recover without duplicate icon","before/after screenshots"
M8-007,Sleep resume,"Sleep Windows and resume after at least 15 seconds","Watcher resumes and current clipboard is not ingested as a new clip","history notes"
M8-008,Lock unlock,"Open for Direct Paste, lock Windows, then unlock","Stale Direct Paste target is cleared; normal copy/paste remains safe","behavior notes"
M8-009,Display topology,"Connect or enable another display","Visible popup remains on a valid screen","screenshot"
M8-010,Monitor disconnect,"Place popup on secondary display and disconnect it","Popup returns to a visible work area","before/after screenshots"
M8-011,DPI change,"Change display scaling and reopen popup","Popup is visible, usable, and not clipped off-screen","screenshot"
M8-012,User logoff,"Log off with XClip running","Process exits without hang; database remains valid next login","event time; integrity result"
M8-013,Windows shutdown,"Shut down or restart with XClip running","Shutdown is not blocked indefinitely; next start passes integrity check","shutdown/restart notes"
M8-014,Global hotkey conflict,"Reserve Ctrl+Shift+V before starting XClip","Settings shows CONFLICT; tray and popup remain usable","Settings screenshot"
M8-015,Stale autostart entry,"Point HKCU Run XClip value to an obsolete path then start/apply","Value is repaired to the current launcher","before/after reg query"
M8-016,MSI upgrade,"Install older compatible MSI then upgrade with current MSI","One installed product; settings/history/PINNED/tags preserved","Apps list; data checks"
M8-017,Uninstall,"Uninstall XClip after creating recognizable data","Application files are removed; user data behavior matches documentation","install directory; .xclip check"
M8-018,Reinstall,"Reinstall after M8-017 and launch","Application starts once and preserved user data loads correctly","popup/data screenshot"
